article_id,year,firstname,surname,name,role_raw,gender,type
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E082T085,2012,Jan,HREŇO,Jan HREŇO,moderátor,M,M1
2012E082T085,2012,Pavel,PUNČOCHÁŘ,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M,?
2012E072T015,2012,Jolka,KRÁSNÁ,Jolka KRÁSNÁ,moderátorka,F,M1
2012E072T015,2012,Jiří,VÁCLAVEK,Jiří VÁCLAVEK,moderátor,M,M1
2012E072T015,2012,Andreas,CARLGREN,Andreas CARLGREN,švédský ministr životního prostředí,M,M6
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Vojtěch,KOTECKÝ,Vojtěch KOTECKÝ,programový ředitel,M,M5
2012E067T087,2012,Jan,BUREŠ,Jan BUREŠ,poslanec,M,M6
2012E067T087,2012,Vojtěch,KOTECKÝ,Vojtěch KOTECKÝ,programový ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
